,Unnamed: 0,ATTENTION_EMBEDDING,BATCH_SIZE,Config_name,DROPOUT_KEEP_PROB,EEG_SIGNAL,EEG_SIGNAL_FORMAT,EYE_TRACKING,EYE_TRACKING_FORMAT,HALVE_LR_EVERY_PASSES,HIDDEN_LAYER_UNITS,INITIAL_LR,L2_REG_LAMBDA,LSTM_UNITS,NORMALIZE_EEG,NORMALIZE_ET,NUM_EPOCHS,SUBJECTS,USE_NORMALIZATION_LAYER,VERBOSE,WORD_EMBEDDINGS,Accuracy,Precision_neg,Recall_neg,F1_neg,Precision_pos,Recall_pos,F1_pos
0,0.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZPH,True,False,True,0.58844376,0.52231383,0.616236,0.5397429,0.7667757,0.70577586,0.7258779
1,1.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZMG,True,False,True,0.57330656,0.5902446,0.5576147,0.55893373,0.7248148,0.712248,0.7106591
2,2.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZAB,True,False,True,0.58662057,0.5650363,0.62797105,0.5777154,0.75734353,0.6863478,0.7033869
3,3.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJN,True,False,True,0.59719306,0.5937765,0.60424477,0.5828284,0.74752533,0.71192896,0.71793306
4,4.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKH,True,False,True,0.5688816,0.48396182,0.6080952,0.52096635,0.7607049,0.68781406,0.71401435
5,5.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZGW,True,False,True,0.5786928,0.4906594,0.60260683,0.51976866,0.73575664,0.74642134,0.7285372
6,6.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJS,True,False,True,0.6010028,0.56418157,0.6364528,0.58651704,0.69364256,0.7211673,0.69919425
7,7.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKB,True,False,True,0.6073278,0.61634344,0.58807135,0.5973395,0.75189483,0.71070194,0.7185246
8,8.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZDM,True,False,True,0.58161265,0.5355617,0.57775795,0.54777926,0.73194385,0.6900737,0.6992914
9,9.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJM,True,False,True,0.5975504,0.6189561,0.5977336,0.58950335,0.7473953,0.704465,0.7101077
10,10.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKW,True,False,True,0.5742918,0.5486838,0.5960239,0.5622441,0.72073954,0.70610106,0.699934
11,11.0,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,"['ZPH', 'ZMG', 'ZAB', 'ZJN', 'ZKH', 'ZGW', 'ZJS', 'ZKB', 'ZDM', 'ZJM', 'ZKW']",True,False,True,0.59500027,0.5267705,0.5856818,0.52748567,0.77657616,0.7060174,0.7246511
0,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZPH,True,False,True,0.5526677966117859,0.5457049608230591,0.5573393106460571,0.5397691130638123,0.7398566603660583,0.6785033345222473,0.6903656125068665
1,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZMG,True,False,True,0.5643373727798462,0.4893072545528412,0.5746874213218689,0.5067327618598938,0.7582775950431824,0.6939314603805542,0.7094723582267761
2,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZAB,True,False,True,0.6344793438911438,0.5740231871604919,0.6803119778633118,0.6178675889968872,0.8236311674118042,0.6872485876083374,0.7418516278266907
3,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJN,True,False,True,0.5859280824661255,0.555402934551239,0.6050384640693665,0.5690423250198364,0.7568738460540771,0.6768335700035095,0.7039548754692078
4,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKH,True,False,True,0.5871968865394592,0.5749784708023071,0.5747618675231934,0.5659655332565308,0.7880569696426392,0.698936939239502,0.7290216684341431
5,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZGW,True,False,True,0.591675877571106,0.5534098148345947,0.575252115726471,0.5500892400741577,0.7583160996437073,0.7258263826370239,0.7312493920326233
6,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJS,True,False,True,0.5928844213485718,0.5291639566421509,0.6578401923179626,0.5650241374969482,0.7063316702842712,0.7029491662979126,0.6930679082870483
7,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKB,True,False,True,0.5956870317459106,0.5509462356567383,0.597589373588562,0.5659281015396118,0.7631343603134155,0.6831304430961609,0.7081478834152222
8,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZDM,True,False,True,0.5921341180801392,0.526129424571991,0.6103531122207642,0.5548705458641052,0.7669438719749451,0.6985071897506714,0.7140401005744934
9,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZJM,True,False,True,0.5975853204727173,0.5488795042037964,0.5939648747444153,0.5610106587409973,0.7286947965621948,0.7332637310028076,0.7207844853401184
10,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,ZKW,True,False,True,0.6023637056350708,0.6031656861305237,0.6104273200035095,0.5883026123046875,0.7498642802238464,0.7045606374740601,0.718124270439148
11,,True,32,Config__WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,9,50,0.001,0.0,150,True,True,10,"['ZPH', 'ZMG', 'ZAB', 'ZJN', 'ZKH', 'ZGW', 'ZJS', 'ZKB', 'ZDM', 'ZJM', 'ZKW']",True,False,True,0.605737030506134,0.5488095283508301,0.6072960495948792,0.5610407590866089,0.7474658489227295,0.7278515696525574,0.724744439125061
