,Unnamed: 0,ATTENTION_EMBEDDING,Accuracy,BATCH_SIZE,BINARY_CLASSIFICATION,Config_name,DROPOUT_KEEP_PROB,EEG_SIGNAL,EEG_SIGNAL_FORMAT,EYE_TRACKING,EYE_TRACKING_FORMAT,F1_neg,F1_pos,HALVE_LR_EVERY_PASSES,HIDDEN_LAYER_UNITS,INITIAL_LR,L2_REG_LAMBDA,LSTM_UNITS,NORMALIZE_EEG,NORMALIZE_ET,NUM_EPOCHS,Precision_neg,Precision_pos,Recall_neg,Recall_pos,SUBJECTS,USE_NORMALIZATION_LAYER,VERBOSE,WORD_EMBEDDINGS
0,0.0,True,0.8131025433540344,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8019994884729386,0.8132787823677063,3,50,0.001,0.0,300,True,True,10,0.8104014158248901,0.8153148770332337,0.8159204125404358,0.8305414497852326,ZPH,True,False,True
1,1.0,True,0.8320890426635742,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8204606652259827,0.8358768939971923,3,50,0.001,0.0,300,True,True,10,0.8115461021661758,0.8545223474502563,0.852408355474472,0.8329914629459381,ZMG,True,False,True
2,2.0,True,0.8028206527233124,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.7707257926464081,0.8151932835578919,3,50,0.001,0.0,300,True,True,10,0.7626907810568809,0.8462157428264618,0.8290314495563507,0.8114142775535583,ZAB,True,False,True
3,3.0,True,0.8095046520233155,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.7846524327993393,0.8189919471740723,3,50,0.001,0.0,300,True,True,10,0.7653357788920403,0.8539080500602723,0.8336876571178437,0.8046927034854889,ZJN,True,False,True
4,4.0,True,0.8240731537342072,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8122657537460327,0.8277231395244599,3,50,0.001,0.0,300,True,True,10,0.7842307597398758,0.8590061008930207,0.8583855390548706,0.8136721968650817,ZKH,True,False,True
5,5.0,True,0.8536681354045867,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8278086006641387,0.8648539781570435,3,50,0.001,0.0,300,True,True,10,0.8105082511901855,0.8997886478900909,0.900090366601944,0.8542913436889649,ZGW,True,False,True
6,6.0,True,0.8133324205875396,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.7970922082662583,0.8187058806419373,3,50,0.001,0.0,300,True,True,10,0.7916712462902069,0.832171368598938,0.8260440587997436,0.825689947605133,ZJS,True,False,True
7,7.0,True,0.8248139023780823,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8186302959918976,0.8229002952575684,3,50,0.001,0.0,300,True,True,10,0.8230998128652572,0.82329181432724,0.8319895267486572,0.8421983003616333,ZKB,True,False,True
8,8.0,True,0.8320890367031097,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8062377542257309,0.8404643058776855,3,50,0.001,0.0,300,True,True,10,0.8036630019545555,0.8631754517555237,0.8696041345596314,0.8427777767181397,ZDM,True,False,True
9,9.0,True,0.8287557125091553,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8179284572601319,0.8294894576072693,3,50,0.001,0.0,300,True,True,10,0.8201968997716904,0.8295706331729888,0.8420736908912658,0.8487255036830902,ZJM,True,False,True
10,10.0,True,0.832071703672409,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8125528156757355,0.842159777879715,3,50,0.001,0.0,300,True,True,10,0.7891254544258117,0.8760241806507111,0.8691666483879089,0.8295029103755951,ZKW,True,False,True
11,11.0,True,0.8166566312313079,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8074644863605499,0.8184047400951385,3,50,0.001,0.0,300,True,True,10,0.8060103923082351,0.823929613828659,0.821568387746811,0.8250180184841156,"['ZPH', 'ZMG', 'ZAB', 'ZJN', 'ZKH', 'ZGW', 'ZJS', 'ZKB', 'ZDM', 'ZJM', 'ZKW']",True,False,True
0,,True,0.8284843564033508,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8159984350204468,0.8361238241195679,3,50,0.001,0.0,300,True,True,10,0.80730140209198,0.8795591592788696,0.8611035346984863,0.819337010383606,ZPH,True,False,True
1,,True,0.8295080065727234,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.821816086769104,0.8332333564758301,3,50,0.001,0.0,300,True,True,10,0.8248271942138672,0.8665987849235535,0.8506650924682617,0.8300784826278687,ZMG,True,False,True
2,,True,0.8271881937980652,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8097553253173828,0.8366727828979492,3,50,0.001,0.0,300,True,True,10,0.7946348786354065,0.8783319592475891,0.8593711853027344,0.8214012980461121,ZAB,True,False,True
3,,True,0.8626216053962708,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8611032366752625,0.8632709383964539,3,50,0.001,0.0,300,True,True,10,0.8449616432189941,0.899036705493927,0.8971742391586304,0.8462127447128296,ZJN,True,False,True
4,,True,0.8576306104660034,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8501091003417969,0.8603911399841309,3,50,0.001,0.0,300,True,True,10,0.8450559377670288,0.8925794363021851,0.8764743804931641,0.8481765985488892,ZKH,True,False,True
5,,True,0.8474882245063782,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8417237997055054,0.8503888249397278,3,50,0.001,0.0,300,True,True,10,0.8230536580085754,0.8931272625923157,0.8784014582633972,0.8242406845092773,ZGW,True,False,True
6,,True,0.8344724774360657,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8181699514389038,0.844713032245636,3,50,0.001,0.0,300,True,True,10,0.7990749478340149,0.8869417309761047,0.863250732421875,0.8238054513931274,ZJS,True,False,True
7,,True,0.8327181935310364,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8269191980361938,0.8330668210983276,3,50,0.001,0.0,300,True,True,10,0.8387651443481445,0.8470134735107422,0.8382786512374878,0.84181147813797,ZKB,True,False,True
8,,True,0.8556913137435913,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8474878072738647,0.8598761558532715,3,50,0.001,0.0,300,True,True,10,0.8214573860168457,0.9096294641494751,0.9047542810440063,0.8365993499755859,ZDM,True,False,True
9,,True,0.8238722085952759,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.806536853313446,0.8342083692550659,3,50,0.001,0.0,300,True,True,10,0.7806026935577393,0.8970804214477539,0.8957799077033997,0.8171969652175903,ZJM,True,False,True
10,,True,0.8197981119155884,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8069801330566406,0.8278790712356567,3,50,0.001,0.0,300,True,True,10,0.794581413269043,0.871558666229248,0.8503351211547852,0.8092982172966003,ZKW,True,False,True
11,,True,0.8325584530830383,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,0.8278657793998718,0.8326690793037415,3,50,0.001,0.0,300,True,True,10,0.8439404368400574,0.8431537747383118,0.8339742422103882,0.8411038517951965,"['ZPH', 'ZMG', 'ZAB', 'ZJN', 'ZKH', 'ZGW', 'ZJS', 'ZKB', 'ZDM', 'ZJM', 'ZKW']",True,False,True
